#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
DOID:0060108	Brain glioma	2	10	2.13	1.02	0.0029	9606.ENSP00000269305,9606.ENSP00000275493	TP53,EGFR
DOID:769	Neuroblastoma	2	10	2.13	1.02	0.0029	9606.ENSP00000269305,9606.ENSP00000269571	TP53,ERBB2
DOID:936	Brain disease	7	806	0.77	0.59	0.0029	9606.ENSP00000263341,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,TP53,EGFR,ATM,BCL2,IL6,TNF
DOID:4677	Keratitis	2	11	2.09	0.99	0.0033	9606.ENSP00000263341,9606.ENSP00000264498	IL1B,FGF2
DOID:12449	Aplastic anemia	3	70	1.46	0.89	0.0034	9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000418960	BRCA2,JAK2,BRCA1
DOID:1115	Sarcoma	3	73	1.45	0.87	0.0038	9606.ENSP00000264498,9606.ENSP00000269305,9606.ENSP00000478887	FGF2,TP53,MYC
DOID:2154	Nephroblastoma	2	12	2.05	0.97	0.0038	9606.ENSP00000269305,9606.ENSP00000495360	TP53,CTNNB1
DOID:640	Encephalomyelitis	2	13	2.02	0.94	0.0043	9606.ENSP00000263341,9606.ENSP00000385675	IL1B,IL6
DOID:9500	Leukocyte disease	3	77	1.42	0.84	0.0043	9606.ENSP00000227507,9606.ENSP00000300305,9606.ENSP00000385675	CCND1,RUNX1,IL6
DOID:3717	Gastric adenocarcinoma	2	14	1.99	0.92	0.0049	9606.ENSP00000269305,9606.ENSP00000269571	TP53,ERBB2
DOID:4195	Hyperglycemia	2	14	1.99	0.92	0.0049	9606.ENSP00000385675,9606.ENSP00000451828	IL6,AKT1
DOID:526	Human immunodeficiency virus infectious disease	2	14	1.99	0.92	0.0049	9606.ENSP00000385675,9606.ENSP00000398698	IL6,TNF
DOID:2615	Papilloma	2	15	1.96	0.9	0.0054	9606.ENSP00000269305,9606.ENSP00000269571	TP53,ERBB2
DOID:3883	Lynch syndrome	2	15	1.96	0.9	0.0054	9606.ENSP00000369497,9606.ENSP00000418960	BRCA2,BRCA1
DOID:4362	Cervical cancer	2	15	1.96	0.9	0.0054	9606.ENSP00000269305,9606.ENSP00000451828	TP53,AKT1
DOID:3083	Chronic obstructive pulmonary disease	2	16	1.93	0.88	0.0060	9606.ENSP00000385675,9606.ENSP00000398698	IL6,TNF
